Entity,Code,Year,Labor force participation rate,Fertility Rate,Population (historical),World regions according to OWID,Women Weekly Working Hours
Mongolia,MNG,2022,53.484,2.746,3386015,Asia,43.2
Morocco,MAR,2022,19.8,2.256,37329069,Africa,34.4
Netherlands,NLD,2022,63.577,1.514,17904422,Europe,22.1
New Zealand,NZL,2022,66.895,1.665,5131733,Oceania,29.2
Nigeria,NGA,2022,77.038,4.552,223150906,Africa,42.9
North Macedonia,MKD,2022,42.217,1.588,1840236,Europe,37.1
Norway,NOR,2022,62.53,1.415,5456795,Europe,24.3
Oman,OMN,2022,39.93,2.449,4730227,Asia,37.0
Palestine,PSE,2022,18.577,3.375,5305274,Asia,31.4
Panama,PAN,2022,49.71,2.139,4400772,North America,32.2
Paraguay,PRY,2022,59.061,2.444,6760461,South America,37.8
Peru,PER,2022,66.732,2.004,33475435,South America,34.7
Philippines,PHL,2022,50.242,1.929,113964342,Asia,40.0
Poland,POL,2022,50.085,1.261,38385734,Europe,34.0
Portugal,PRT,2022,54.7,1.453,10417075,Europe,32.1
Qatar,QAT,2022,61.73,1.739,2892465,Asia,48.3
Romania,ROU,2022,42.293,1.717,19166776,Europe,37.9
Russia,RUS,2022,55.534,1.452,145579890,Europe,36.9
Rwanda,RWA,2022,54.756,3.778,13651026,Africa,27.6
Saint Lucia,LCA,2022,62.656,1.387,178794,North America,39.3
Saudi Arabia,SAU,2022,34.457,2.14,32175352,Asia,37.9
Serbia,SRB,2022,50.967,1.519,6791218,Europe,37.4
Singapore,SGP,2022,63.366,0.943,5649886,Asia,42.8
Slovakia,SVK,2022,56.175,1.56,5473194,Europe,30.7
Slovenia,SVN,2022,58.122,1.568,2115230,Europe,32.4
South Africa,ZAF,2022,50.819,2.227,62378419,Africa,39.1
South Korea,KOR,2022,55.041,0.78,51782514,Asia,34.8
Spain,ESP,2022,53.188,1.205,47828386,Europe,29.4
Sweden,SWE,2022,63.677,1.538,10487333,Europe,26.8
Switzerland,CHE,2022,61.486,1.395,8792180,Europe,28.6
Thailand,THA,2022,59.857,1.221,71735320,Asia,41.6
Trinidad and Tobago,TTO,2022,47.275,1.544,1495922,North America,36.0
Turkey,TUR,2022,35.114,1.625,87058470,Asia,40.3
United Arab Emirates,ARE,2022,55.315,1.148,10242085,Asia,57.1
United States,USA,2022,56.788,1.665,341534041,North America,34.1
Uruguay,URY,2022,55.653,1.425,3390913,South America,29.6
Vietnam,VNM,2022,68.543,1.927,99680656,Asia,40.9
Zambia,ZMB,2022,53.998,4.175,20152934,Africa,39.8
