Economy,Year,Economy Code,"Birth rate, crude (per 1,000 people)",GDP (current US$)
Jordan,2022,JOR,21.616,
Jordan,2023,JOR,,50813642348.675
Kazakhstan,2022,KAZ,20.570,
Kazakhstan,2023,KAZ,,261421121085.572
Kenya,2022,KEN,27.540,
Kenya,2023,KEN,,107440575838.048
Kiribati,2022,KIR,26.723,
Kiribati,2023,KIR,,279034355.108
"Korea, Dem. People's Rep.",2022,PRK,13.058,
"Korea, Dem. People's Rep.",2023,PRK,,
"Korea, Rep.",2022,KOR,4.900,
"Korea, Rep.",2023,KOR,,1712792854202.370
Kosovo,2022,XKX,11.068,
Kosovo,2023,XKX,,10438351483.168
Kuwait,2022,KWT,9.727,
Kuwait,2023,KWT,,161772221950.942
Kyrgyz Republic,2022,KGZ,21.500,
Kyrgyz Republic,2023,KGZ,,13987627908.838
Lao PDR,2022,LAO,21.460,
Lao PDR,2023,LAO,,15843155731.255
Latvia,2022,LVA,8.500,
Latvia,2023,LVA,,43627078481.287
Lebanon,2022,LBN,14.576,
Lebanon,2023,LBN,,17937256175.141
Lesotho,2022,LSO,25.778,
Lesotho,2023,LSO,,2046039024.459
Liberia,2022,LBR,30.996,
Liberia,2023,LBR,,4332000000.000
Libya,2022,LBY,17.298,
Libya,2023,LBY,,50491722445.777
Liechtenstein,2022,LIE,9.200,7364654515.140
Lithuania,2022,LTU,7.800,
Lithuania,2023,LTU,,77836396962.772
Luxembourg,2022,LUX,9.900,
Luxembourg,2023,LUX,,85755006123.598
"Macao SAR, China",2022,MAC,10.044,
"Macao SAR, China",2023,MAC,,47061843715.856
Madagascar,2022,MDG,30.595,
Madagascar,2023,MDG,,16031702914.920
Malawi,2022,MWI,32.611,
Malawi,2023,MWI,,14084341062.368
Malaysia,2022,MYS,15.016,
Malaysia,2023,MYS,,399648828546.504
Maldives,2022,MDV,13.638,
Maldives,2023,MDV,,6600000000.000
Mali,2022,MLI,41.217,
Mali,2023,MLI,,20904898296.250
Malta,2022,MLT,8.100,
Malta,2023,MLT,,20956999452.432
Marshall Islands,2022,MHL,18.524,
Marshall Islands,2023,MHL,,284000000.000
Mauritania,2022,MRT,32.953,
Mauritania,2023,MRT,,10452577062.758
Mauritius,2022,MUS,9.600,
Mauritius,2023,MUS,,14397127281.383
Mexico,2022,MEX,14.636,
Mexico,2023,MEX,,1788886821046.810
"Micronesia, Fed. Sts.",2022,FSM,20.684,
"Micronesia, Fed. Sts.",2023,FSM,,460000000.000
Moldova,2022,MDA,12.148,
Moldova,2023,MDA,,16539436547.295
Monaco,2018,MCO,5.900,
Monaco,2022,MCO,,8784002931.687
Mongolia,2022,MNG,20.447,
Mongolia,2023,MNG,,19872180369.627
Montenegro,2022,MNE,11.400,
Montenegro,2023,MNE,,7404541964.508
Morocco,2022,MAR,17.161,
Morocco,2023,MAR,,141109373209.414
Mozambique,2022,MOZ,36.121,
Mozambique,2023,MOZ,,20624597846.549
Myanmar,2022,MMR,16.833,
Myanmar,2023,MMR,,64815031669.095
Namibia,2022,NAM,26.921,
Namibia,2023,NAM,,12351024843.747
Nauru,2022,NRU,26.785,
Nauru,2023,NRU,,154127798.194
Nepal,2022,NPL,20.165,
Nepal,2023,NPL,,40908073366.845
Netherlands,2022,NLD,9.500,
Netherlands,2023,NLD,,1118124749886.290
New Caledonia,2022,NCL,14.100,9623318718.315
New Zealand,2022,NZL,11.490,
New Zealand,2023,NZL,,253465703232.146
Nicaragua,2022,NIC,20.018,
Nicaragua,2023,NIC,,17829215283.800
Niger,2022,NER,45.029,
Niger,2023,NER,,16819170420.565
Nigeria,2022,NGA,36.611,
Nigeria,2023,NGA,,362814951696.073
North Macedonia,2022,MKD,9.900,
North Macedonia,2023,MKD,,14761237042.206
Northern Mariana Islands,2019,MNP,13.200,
Northern Mariana Islands,2020,MNP,,858000000.000
Norway,2022,NOR,9.400,
Norway,2023,NOR,,485513316503.630
Oman,2022,OMN,17.706,
Oman,2023,OMN,,108192457737.321
Pakistan,2022,PAK,27.233,
Pakistan,2023,PAK,,338368455317.876
Palau,2022,PLW,8.800,
Palau,2023,PLW,,263020733.717
Panama,2022,PAN,17.400,
Panama,2023,PAN,,83382400000.000
Papua New Guinea,2022,PNG,25.112,
Papua New Guinea,2023,PNG,,30932496249.792
Paraguay,2022,PRY,20.328,
Paraguay,2023,PRY,,42956263543.948
Peru,2022,PER,17.376,
Peru,2023,PER,,267603248655.253
Philippines,2022,PHL,21.618,
Philippines,2023,PHL,,437146372729.942
Poland,2022,POL,8.300,
Poland,2023,POL,,811229100687.566
Portugal,2022,PRT,8.000,
Portugal,2023,PRT,,287080013574.497
Puerto Rico,2022,PRI,5.900,
Puerto Rico,2023,PRI,,117902300000.000
Qatar,2022,QAT,9.091,235770403734.900
Romania,2022,ROU,9.600,
Romania,2023,ROU,,351002579629.670
Russian Federation,2022,RUS,8.900,
Russian Federation,2023,RUS,,2021421476035.420
Rwanda,2022,RWA,29.474,
Rwanda,2023,RWA,,14097768647.670
Samoa,2022,WSM,26.997,
Samoa,2023,WSM,,934100336.276
San Marino,2022,SMR,6.100,
San Marino,2021,SMR,,1855382833.116
Sao Tome and Principe,2022,STP,27.974,
Sao Tome and Principe,2023,STP,,603240748.954
Saudi Arabia,2022,SAU,16.919,
Saudi Arabia,2023,SAU,,1067582933333.330
Senegal,2022,SEN,32.067,
Senegal,2023,SEN,,31013986429.186
Serbia,2022,SRB,9.300,
Serbia,2023,SRB,,75187125426.738
Seychelles,2022,SYC,13.100,
Seychelles,2023,SYC,,2141450171.139
Sierra Leone,2022,SLE,30.788,
Sierra Leone,2023,SLE,,3809832236.960
Singapore,2022,SGP,7.900,
Singapore,2023,SGP,,501427500080.059
Sint Maarten (Dutch part),2022,SXM,8.100,
Sint Maarten (Dutch part),2023,SXM,,1623165683.128
Slovak Republic,2022,SVK,9.700,
Slovak Republic,2023,SVK,,132793622283.071
Slovenia,2022,SVN,8.300,
Slovenia,2023,SVN,,68216781410.523
Solomon Islands,2022,SLB,29.322,
Solomon Islands,2023,SLB,,1631286701.115
Somalia,2022,SOM,43.086,
Somalia,2023,SOM,,11679800110.152
South Africa,2022,ZAF,19.310,
South Africa,2023,ZAF,,377781600985.873
South Sudan,2022,SSD,28.857,
South Sudan,2015,SSD,,11997800760.224
Spain,2022,ESP,6.900,
Spain,2023,ESP,,1580694712515.710
Sri Lanka,2022,LKA,13.781,
Sri Lanka,2023,LKA,,84356860421.130
St. Kitts and Nevis,2022,KNA,11.823,
St. Kitts and Nevis,2023,KNA,,1077033111.111
St. Lucia,2022,LCA,11.316,
St. Lucia,2023,LCA,,2519925938.524
St. Martin (French part),2022,MAF,14.414,
St. Martin (French part),2021,MAF,,649206262.848
St. Vincent and the Grenadines,2022,VCT,12.726,
St. Vincent and the Grenadines,2023,VCT,,1065962962.963
Sudan,2022,SDN,33.027,
Sudan,2023,SDN,,109327023588.732
Suriname,2022,SUR,17.983,
Suriname,2023,SUR,,3782437296.043
Sweden,2022,SWE,10.000,
Sweden,2023,SWE,,593267701033.408
Switzerland,2022,CHE,9.400,
Switzerland,2023,CHE,,884940402230.409
Syrian Arab Republic,2022,SYR,20.531,
Syrian Arab Republic,2021,SYR,,8980060818.721
Tajikistan,2022,TJK,26.025,
Tajikistan,2023,TJK,,12060602008.848
Tanzania,2022,TZA,35.811,
Tanzania,2023,TZA,,79158286333.524
Thailand,2022,THA,8.806,
Thailand,2023,THA,,514944993833.578
Timor-Leste,2022,TLS,24.611,
Timor-Leste,2023,TLS,,2243142908.462
Togo,2022,TGO,31.480,
Togo,2023,TGO,,9171261835.063
Tonga,2022,TON,22.894,500274898.085
Trinidad and Tobago,2022,TTO,11.382,
Trinidad and Tobago,2023,TTO,,28139944790.291
Tunisia,2022,TUN,15.600,
Tunisia,2023,TUN,,48529595416.653
Turkiye,2022,TUR,14.468,
Turkiye,2023,TUR,,1108022373259.510
Turkmenistan,2022,TKM,20.755,
Turkmenistan,2023,TKM,,59887334844.065
Turks and Caicos Islands,2022,TCA,12.270,
Turks and Caicos Islands,2023,TCA,,1402054390.947
Tuvalu,2022,TUV,23.318,
Tuvalu,2023,TUV,,62280311.585
Uganda,2022,UGA,36.215,
Uganda,2023,UGA,,49272882213.623
Ukraine,2022,UKR,7.659,
Ukraine,2023,UKR,,178757021386.809
United Arab Emirates,2022,ARE,9.888,
United Arab Emirates,2023,ARE,,504173451327.434
United Kingdom,2022,GBR,10.000,
United Kingdom,2023,GBR,,3340032380668.040
United States,2022,USA,11.000,
United States,2023,USA,,27360935000000.000
Uruguay,2022,URY,10.419,
Uruguay,2023,URY,,77240831587.167
Uzbekistan,2022,UZB,26.200,
Uzbekistan,2023,UZB,,90889149306.731
Vanuatu,2022,VUT,28.968,
Vanuatu,2023,VUT,,1126313359.219
"Venezuela, RB",2022,VEN,15.573,
"Venezuela, RB",2014,VEN,,482359318767.703
Vietnam,2022,VNM,14.689,
Vietnam,2023,VNM,,429716969049.593
Virgin Islands (U.S.),2022,VIR,11.600,
Virgin Islands (U.S.),2021,VIR,,4444000000.000
West Bank and Gaza,2022,PSE,27.690,
West Bank and Gaza,2023,PSE,,17396300000.000
"Yemen, Rep.",2022,YEM,29.919,
"Yemen, Rep.",2018,YEM,,21606160663.032
Zambia,2022,ZMB,34.127,
Zambia,2023,ZMB,,28162630953.929
Zimbabwe,2022,ZWE,30.086,
Zimbabwe,2023,ZWE,,26538273498.846
